Команда	Действие
B	Заполнение уникальных балонов
B0	Заполнение "в гирю"
B024	Заполнение 4л баллонов
B05	Заполнение 10л баллонов (смесь)
B2	Заполнение 40л баллонов (смесь)
B3	Заполнение 5л баллонов
B6	Заполнение 10л баллонов
B12	Заполнение 20л баллонов
B19	Заполнение 40л баллонов
B24	Заполнение 40л баллонов
----------------------------------------------
С0	Перезагрузка модуля без сохранения
С1	Перезагрузка  модуля с сохранением
С2	Калибровка
С3	Выбор активного насоса
----------------------------------------------
D0	Перезапуск демона
D1	Перезагрузка сервера
D2	Калибровка без проверки на ошибки
D3	Выбор активных весов
D4	Установка интервала обновления модуля
D5	Установка разбега стабильности
D6	Установка размера истории стабильности
D7	Установка яркости дисплея
